13;Уровень 80;Поздравляем вас с тем, что вы достигли 80-го сезона приключений. Вы, несомненно, посвятили себя делу избавления Азерота от зла, которое преследует нас.$B$BИ хотя путешествие до сих пор было немалым подвигом, настоящая битва еще впереди.$B$BСражайтесь!
45;Вы были рядом!;Ну, посмотри на себя!$B$BИ я думал, что видел кое-что в этом ледяном месте! Гному кажется очевидным, что в твоих глазах горит огонь исследователя.$B$BНоси эту гербовую накидку с гордостью. Таким образом, ваши друзья будут знать, у кого спросить дорогу, когда придет время!
46;Первооткрыватель;Ранец исследователя
230;Военачальник;Вы получили достижение "Военачальник" возмите доказательство
432;;
456;;
614;За Альянс!;Война бушует на наших землях. Только самые смелые герои осмеливаются бросить вызов Орде и нанести удар по самому больному месту. Ты один из таких героев.$B$BУдары, которые ты нанес руководству Орды, откроют дверь для нашего последнего штурма. Орда преклонится перед мощью Альянса.$B$BYВаши дела не останутся без награды. Скачи вперед с гордостью!$B$B--Ваш король
619;За Орду!;В это время великих потрясений настоящие герои восстают из страданий. Ты один из таких великих героев.$B$BНас ждет война. Ваши усилия помогут нам в Азероте. Ваши великие подвиги будут вознаграждены. Возьмите этот приз Оргриммара и скачите к славе.$B$BЗа Орду!$B$BВождь Тралл
714;;
762;;
870;100000 почетных побед в PvP;Подарляю могу тебя о великий ичий воин!!! Вы смогли сохранить 100000 почетных побед в PvP, возмите доказательство своих заслуг и выдающихся достижений.
871;Якорь мне в глотку!;Вы получили Адмиральскую шляпу Кровавого Паруса… возмите доказательство содеянного, наградного звания!.. и почаще выходит на свежий воздух!
876;Я наблюдал за тобой, малыш.;У тебя есть талант бросать вниз на этой арене. Держите это. Носите его с гордостью. А теперь вернись и покажи им, как это делается!$B$BДядя Сал
907;;
913;Почта к предкам;Вы сделали достижение "Почта к предкам" получить вознаграждение и гарантии содеянного.
942;;
943;;
945;;
948;;
953;;
978;3000 заданий;Выполнили 3000 заданий! получите наградную шкатулку "х30"
1015;Превознесение среди 35 фракций;Поздравляю тебя! ты добился, что тебя превозносят 35 фракций, возмите доказательство содеяного, и почетный того типул!
1021;Довольно успешный;Я не мог не заметить, какую прекрасную коллекцию гербовых накидок тебе удалось собрать за сезоны. Вы могли бы также добавить это в свою коллекцию. Он просто пылится в моем гардеробе.
1038;;
1039;;
1174;Повелитель арены;Вы стали Повелителем арены, возмите защиты содеянного
1175;Военачальник;Вы получили достижение "Военачальник" возмите доказательство
1250;Новый дом Вонючки;Я слышал, как хорошо ты заботишься о наших пушистых друзьях. Надеюсь, вы не возражаете, но я должен подыскать Вонючке новый дом. Он просто отказывается вести себя хорошо с другими.$B$BПожалуйста, кормите его два раза в день. И гм... он любит черных кошек.$B$B--Бреанни
1400;;
1402;;
1516;Непревзойденный рыболов;Вы Не стали превзойденным рыболовом, получите награду и гарантии!
1563;Слава повару!;Вы стали Славным поваром!!! получить доказательства содеянного.
1656;;
1657;;
1658;;
1681;Привет из Дарнаса;Ваши достижения были глубокими и далеко идущими. Азерот, со всеми недавними беспорядками, очень выигрывает от тех, кто стремится избавить землю от зла. $B$BТолько те, кто находит время, чтобы узнать наши земли, понимают жертвы павших и доблесть наших героев. Вы один из таких героев. Надеюсь, ты будешь отрекаться от своих приключений долгие годы.$B$BОт имени Альянса я благодарю тебя, Хранитель мудрости.
1682;Привет из Громового Утеса;Новости о ваших достижениях разошлись далеко. Ветры смуты воют в наших землях. Наша единственная надежда — те, кто бросит вызов злу. $B$BТолько те, кто слушает ветер, понимают долг наших павших героев, чтобы защитить наш народ. Пусть такой герой, как вы, живет долго, чтобы рассказывать истории о ваших приключениях. И только тогда мы вспомним, за что мы должны быть благодарны.$B$BБлагодарность глубока, Хранитель мудрости.
1683;;
1684;;
1691;;
1692;;
1693;;
1707;;
1784;Слава повару!;Вы стали Славным поваром!!! получить доказательства содеянного.
1793;;
1956;Высшее образование;Поздравляем с завершением изучения Школ Тайной Магии. В знак признания вашей самоотверженности я прилагаю этот специальный том, завершающий серию. $B$BI полагает, что вы найдете этот фолиант особенно интересным. Но я оставлю это на ваше усмотрение.$B$BSС уважением,$B$BRhonin
2051;;
2054;;
2096;Мастер монет;Приветствую и поздравляю со сбором полного комплекта даларанских монет! В награду за вашу тяжелую работу я приложил только что отчеканенную титановую печать Даларана. Это особая монета, которую мы дарим только самым ярым коллекционерам. $B$BI надеемся, что вам понравится эта особая награда. Вы это заслужили!$B$BSС уважением,$BJepetto Joybuzz
2136;Слава Героя;Чемпион,$B$BВ храм Драконьего Покоя пришло известие о великих героических подвигах, которые вы совершили с момента прибытия в Нордскол.$B$BYВаша храбрость не должна остаться незамеченной. Пожалуйста, примите этот дар от имени Аспектов. Вместе мы избавим Азерот от зла раз и навсегда.$B$BAЛекстраза Хранительница Жизни
